Data,y_pred
2017-01-03,0
2017-01-10,0
2017-01-17,0
2017-01-24,0
2017-01-31,0
2017-02-07,0
2017-02-14,0
2017-02-21,0
2017-02-28,0
2017-03-07,0
2017-03-14,0
2017-03-21,0
2017-03-28,0
2017-04-04,0
2017-04-11,0
2017-04-18,0
2017-04-25,0
2017-05-02,0
2017-05-09,0
2017-05-16,0
2017-05-23,0
2017-05-30,0
2017-06-06,0
2017-06-13,0
2017-06-20,0
2017-06-27,0
2017-07-04,0
2017-07-11,0
2017-07-18,0
2017-07-25,0
2017-08-01,0
2017-08-08,0
2017-08-15,0
2017-08-22,0
2017-08-29,0
2017-09-05,0
2017-09-12,0
2017-09-19,0
2017-09-26,0
2017-10-03,0
2017-10-10,0
2017-10-17,0
2017-10-24,0
2017-10-31,0
2017-11-07,0
2017-11-14,0
2017-11-21,0
2017-11-28,0
2017-12-05,0
2017-12-12,0
2017-12-19,0
2017-12-26,0
2018-01-02,0
2018-01-09,0
2018-01-16,0
2018-01-23,0
2018-01-30,0
2018-02-06,1
2018-02-13,0
2018-02-20,0
2018-02-27,0
2018-03-06,0
2018-03-13,0
2018-03-20,0
2018-03-27,0
2018-04-03,0
2018-04-10,0
2018-04-17,0
2018-04-24,0
2018-05-01,0
2018-05-08,0
2018-05-15,0
2018-05-22,0
2018-05-29,0
2018-06-05,0
2018-06-12,0
2018-06-19,0
2018-06-26,0
2018-07-03,0
2018-07-10,0
2018-07-17,0
2018-07-24,0
2018-07-31,0
2018-08-07,0
2018-08-14,0
2018-08-21,0
2018-08-28,0
2018-09-04,0
2018-09-11,0
2018-09-18,0
2018-09-25,0
2018-10-02,0
2018-10-09,0
2018-10-16,0
2018-10-23,0
2018-10-30,0
2018-11-06,0
2018-11-13,0
2018-11-20,0
2018-11-27,0
2018-12-04,0
2018-12-11,0
2018-12-18,0
2018-12-25,1
2019-01-01,1
2019-01-08,0
2019-01-15,0
2019-01-22,0
2019-01-29,0
2019-02-05,0
2019-02-12,0
2019-02-19,0
2019-02-26,0
2019-03-05,0
2019-03-12,0
2019-03-19,0
2019-03-26,0
2019-04-02,0
2019-04-09,0
2019-04-16,0
2019-04-23,0
2019-04-30,0
2019-05-07,0
2019-05-14,0
2019-05-21,0
2019-05-28,0
2019-06-04,0
2019-06-11,0
2019-06-18,0
2019-06-25,0
2019-07-02,0
2019-07-09,0
2019-07-16,0
2019-07-23,0
2019-07-30,0
2019-08-06,0
2019-08-13,0
2019-08-20,0
2019-08-27,0
2019-09-03,0
2019-09-10,0
2019-09-17,0
2019-09-24,0
2019-10-01,0
2019-10-08,0
2019-10-15,0
2019-10-22,0
2019-10-29,0
2019-11-05,0
2019-11-12,0
2019-11-19,0
2019-11-26,0
2019-12-03,0
2019-12-10,0
2019-12-17,0
2019-12-24,0
2019-12-31,0
2020-01-07,0
2020-01-14,0
2020-01-21,0
2020-01-28,0
2020-02-04,0
2020-02-11,0
2020-02-18,0
2020-02-25,0
2020-03-03,1
2020-03-10,1
2020-03-17,1
2020-03-24,1
2020-03-31,1
2020-04-07,1
2020-04-14,1
2020-04-21,1
2020-04-28,0
2020-05-05,0
2020-05-12,0
2020-05-19,0
2020-05-26,0
2020-06-02,0
2020-06-09,0
2020-06-16,0
2020-06-23,0
2020-06-30,0
2020-07-07,0
2020-07-14,0
2020-07-21,0
2020-07-28,0
2020-08-04,0
2020-08-11,0
2020-08-18,0
2020-08-25,0
2020-09-01,0
2020-09-08,0
2020-09-15,0
2020-09-22,0
2020-09-29,0
2020-10-06,0
2020-10-13,0
2020-10-20,0
2020-10-27,0
2020-11-03,0
2020-11-10,0
2020-11-17,0
2020-11-24,0
2020-12-01,0
2020-12-08,0
2020-12-15,0
2020-12-22,0
2020-12-29,0
2021-01-05,0
2021-01-12,0
2021-01-19,0
2021-01-26,0
2021-02-02,0
2021-02-09,0
2021-02-16,0
2021-02-23,0
2021-03-02,0
2021-03-09,0
2021-03-16,0
2021-03-23,0
2021-03-30,0
2021-04-06,0
2021-04-13,0
2021-04-20,0
